object_number,taxonomy.scientific_name,taxonomy.common_name,preparation,form,field_coll.name,field_coll.place,field_coll.date.start,field_coll.date.end
NH:2006.12.1938,"Accipiter nisus (Linnaeus, 1758)Falco tinnunculus Linnaeus, 1758Falco subbuteo Linnaeus, 1758",Eurasian sparrowhawkcommon kestrelEurasian hobby,taxidermy,diorama,,,,
NH:1916.128.2388,"Acrocephalus schoenobaenus (Linnaeus, 1758)Saxicola rubetra (Linnaeus, 1758)",sedge warblerwhinchat,skin,boxed,"Hamilton, John",Maidens West,1899-05-12,1899-05-13
NH:1933.86,"Agrius convolvuli (Linnaeus, 1758)Oenanthe oenanthe (Linnaeus, 1758)Locustella naevia (Boddaert, 1783)",convolvulus hawkmothNorthern wheatearGrasshopper Warbler,,,,Hook Head Lighthouse,28/05/1933,29/05/1933
NH:1915.155,"Anthus pratensis (Linnaeus, 1758)Cuculidae",meadow pipit,,,,Enfield (Co. Meath),,
NH:2008.73.163,"Anthus richardi Vieillot, 1818Anthus campestris (Linnaeus, 1758)",Richard's pipittawny pipit,taxidermy,mounted,,Crimea Oblast (autonomous republic),,
NH:2003.30.555,"Aratinga solstitialis (Linnaeus, 1758)Aratinga solstitialis solstitialis",Crimson Rosella,taxidermy,mounted,,,,
NH:2003.51.1252,Aulacorhynchus prasinusAulacorhynchus prasinus albivitta,Emerald Toucanet,skin,,"Salmon, J.K.",Concordia (Colombia),,
NH:1960.4.1,"Aythya nyroca (Güldenstädt, 1770)Aythya nyroca (Güldenstädt, 1770)",ferruginous pochardferruginous pochard,skin,,,South Slob,11/02/1960,11/02/1960
NH:2015.28.1,"Buteo buteo (Linnaeus, 1758)Oryctolagus cuniculus (Linnaeus, 1758)",common buzzardEuropean rabbit,taxidermy,mounted,,Ireland,,
NH:2008.73.434,"Cuculus canorus Linnaeus, 1758Anthus pratensis (Linnaeus, 1758)",common cuckoomeadow pipit,taxidermyegg,diorama,,Co. Meath,,
NH:2008.73.384,"Emberiza caesia Cretzschmar, 1827Emberiza cia Linnaeus, 1766",Cretzschmar's buntingrock bunting,taxidermy,mounted,,Crimea Oblast (autonomous republic),,
